Date,0
2020-01-02,1000000.0000000002
2020-01-03,997436.6622845378
2020-01-06,998942.942323955
2020-01-07,993514.5214427131
2020-01-08,990265.7788053076
2020-01-09,993207.2165029125
2020-01-10,994875.420247998
2020-01-13,997177.4675237194
2020-01-14,996876.5183942786
2020-01-15,995627.016744679
2020-01-16,995522.3930505298
2020-01-17,994610.8525316166
2020-01-21,994093.5272193523
2020-01-22,994409.5032762996
2020-01-23,994949.4628677572
2020-01-24,989260.921991665
2020-01-27,988268.3602963658
2020-01-28,990460.98571107
2020-01-29,988729.9539974008
2020-01-30,989603.4007757823
2020-01-31,992055.9321439393
2020-02-03,992055.9321439393
2020-02-04,992085.1168917706
2020-02-05,992682.2184175056
2020-02-06,995254.0806027262
2020-02-07,995663.0246699066
2020-02-10,997205.7366440101
2020-02-11,998183.8812603881
2020-02-12,997980.8534548918
2020-02-13,995069.6608765321
2020-02-14,996678.565282679
2020-02-18,996385.2729740852
2020-02-19,997128.6454344186
2020-02-20,987941.473238969
2020-02-21,987529.9081813091
2020-02-24,988106.9853535765
2020-02-25,987071.8388005365
2020-02-26,990196.5507143482
2020-02-27,995386.0227215639
2020-02-28,1000642.4099100812
2020-03-02,1000642.4099100812
2020-03-03,1004957.3270847038
2020-03-04,1002837.0726152939
2020-03-05,1002293.4371429955
2020-03-06,1000507.4034573906
2020-03-09,994348.3911141236
2020-03-10,992295.9636120698
2020-03-11,996422.5141086705
2020-03-12,1034213.6619482018
2020-03-13,1011959.3557704564
2020-03-16,1036823.1928849684
2020-03-17,1027070.6869944208
2020-03-18,1054565.0763799439
2020-03-19,1058704.8102406494
2020-03-20,1058012.5657738384
2020-03-23,1086295.8557961807
2020-03-24,1052554.049679223
2020-03-25,1025785.8388196942
2020-03-26,1021426.0896152931
2020-03-27,1027949.0586629824
2020-03-30,1018027.4561873402
2020-03-31,1017267.5895395413
2020-04-01,1032040.8826513775
2020-04-01,1032040.8826513775
2020-04-02,1020632.930761087
2020-04-03,1015600.3980684436
2020-04-06,1033784.0581278987
2020-04-07,1034111.399604014
2020-04-08,1032056.5178021985
2020-04-09,1042534.3085535673
2020-04-13,1031773.8946922304
2020-04-14,1035225.3304970885
2020-04-15,1025899.6553290212
2020-04-16,1022529.4680965324
2020-04-17,1033983.8832824252
2020-04-20,1038618.4357434836
2020-04-21,1029023.6759785311
2020-04-22,1027558.2099456093
2020-04-23,1029977.6961082658
2020-04-24,1030825.2681235812
2020-04-27,1041068.4423716201
2020-04-28,1050438.0874232003
2020-04-29,1067236.1194813224
2020-04-30,1052462.1745505705
2020-05-01,1045420.2078148678
2020-05-01,1045420.2078148676
2020-05-04,1048379.1857708854
2020-05-05,1052439.1983266042
2020-05-06,1057375.5679526925
2020-05-07,1058275.6392855598
2020-05-08,1056539.3287417304
2020-05-11,1055093.8786089027
2020-05-12,1056356.0620494382
2020-05-13,1058401.9462707092
2020-05-14,1056415.9113087535
2020-05-15,1056244.7378198842
2020-05-18,1046341.0474683584
2020-05-19,1044642.1932511148
2020-05-20,1045999.8201023232
2020-05-21,1047995.8969502477
2020-05-22,1046851.5106416866
2020-05-26,1051362.0167948073
2020-05-27,1058809.4571764467
2020-05-28,1057716.3653894449
2020-05-29,1057063.0822765816
2020-06-01,1061705.9325282797
2020-06-01,1061705.9325282795
2020-06-02,1062602.5347572654
2020-06-03,1057075.8237152828
2020-06-04,1054413.625120594
2020-06-05,1053779.0371023596
2020-06-08,1051657.7076344516
2020-06-09,1043522.7670969452
2020-06-10,1043115.2689594368
2020-06-11,1034186.308618024
2020-06-12,1039944.3765746533
2020-06-15,1041911.9120501183
2020-06-16,1046298.7725663388
2020-06-17,1043639.2202010251
2020-06-18,1041810.8851494023
2020-06-19,1036528.1237837097
2020-06-22,1037745.2148002153
2020-06-23,1040146.1635167672
2020-06-24,1037795.4018353783
2020-06-25,1035530.7880260929
2020-06-26,1034656.759196875
2020-06-29,1040880.7845082155
2020-06-30,1039235.9697042783
2020-07-01,1032882.3872810553
2020-07-01,1032882.3872810553
2020-07-02,1033335.3924262807
2020-07-06,1040362.6418674389
2020-07-07,1039202.3436140347
2020-07-08,1035213.8652881199
2020-07-09,1024353.2354761547
2020-07-10,1021457.6669738084
2020-07-13,1027179.0630981115
2020-07-14,1024574.2291742899
2020-07-15,1024183.6572827804
2020-07-16,1025200.8199082022
2020-07-17,1024142.3600401178
2020-07-20,1015562.3437047622
2020-07-21,1015724.8349126934
2020-07-22,1018650.3620769345
2020-07-23,1020239.3612917206
2020-07-24,1019525.4865156431
2020-07-27,1018574.0137313758
2020-07-28,1017905.9035111548
2020-07-29,1016360.8543512095
2020-07-30,1008058.9734840018
2020-07-31,999785.089558005
2020-08-03,999785.089558005
2020-08-04,994374.6466459632
2020-08-05,995056.488918327
2020-08-06,999726.7672113343
2020-08-07,997588.5372423877
2020-08-10,997690.3952050796
2020-08-11,991930.7541065863
2020-08-12,989866.4161065598
2020-08-13,993062.2407577048
2020-08-14,990936.8618072857
2020-08-17,991724.2673596111
2020-08-18,996645.4721424861
2020-08-19,996447.3919967501
2020-08-20,1001915.4145686046
2020-08-21,1003387.6252867157
2020-08-24,1000671.9853486673
2020-08-25,1000563.6914522458
2020-08-26,1001388.4629910534
2020-08-27,1003400.5393963576
2020-08-28,1004331.1087662925
2020-08-31,1006367.9427986802
2020-09-01,1011747.3183869948
2020-09-01,1011747.318386995
2020-09-02,1005494.0264742675
2020-09-03,1004905.2001318656
2020-09-04,1007241.1421179434
2020-09-08,1000332.0329834941
2020-09-09,1005159.5971114088
